ID_WaterChem_Entries,Source,Program,field_method,event,Location_Number,Location_Name,Sample_Date,Sample_Time,Parameter,Prefix,Result,Result_Unit,Detection_Flag,Detection_Limit,Result_ID,Result_Properties,Result_Method,FieldProbe,Percent_Ice_Cover,Flow_Condition,Site_Field_Notes,Weather,IWMP_Sampling_Run,Sampled_By,Sample_Session_Notes,Lab_WorkOrder_Number,Entered_Who,Entered_When,Source_Parameter,Source_Result,Source_Result_Unit,Outside_Range,current_low_range,current_high_range,DB_admin_Notes,Omit_Listing,Temp_Source_Result_Text_Format,REMOVE_Source_Result,general_notes,SSMA_TimeStamp
931927,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,1/25/2012,10:52:00 AM,pH_Lab,,8.07,pH Units,Y,,,,SM 4500H+ B,,,,,,,,,MI5688-01,67044,7/30/2012,pH,8.07,pH,0,7.95,8.47,,FALSE,,0,,
931953,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,1/25/2012,10:52:00 AM,Potassium_K,,12.9,mg/L,Y,0.1,,,EPA 6020,,,,,,,,,MI5688-04,67044,7/30/2012,Potassium (K),12900,ug/L,-1,1.45,6.83,,FALSE,,0,,
931957,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,1/25/2012,10:52:00 AM,Sodium_Na,,152,mg/L,Y,0.05,,,EPA 6020,,,,,,,,,MI5688-04,67044,7/30/2012,Sodium (Na),152000,ug/L,0,20.1,165,,FALSE,,0,,
931934,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,1/25/2012,10:52:00 AM,Total_Dissolved_Solids_TDS,,690,mg/L,Y,10,,,APHA 2540C,,,,,,,,,MI5688-03,67044,7/30/2012,Total Dissolved Solids,690,mg/L,0,262,906,,FALSE,,0,,
932596,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,2/29/2012,10:35:00 AM,Ammonia_N,,0.04,mg/L,Y,0.01,,,US GS I-2522-90,,,,,,,,,MR2490-05,67044,7/30/2012,Total Ammonia-N,0.04,mg/L,0,0.006,0.3,,FALSE,,0,,
932641,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,2/29/2012,10:35:00 AM,Calcium_Ca,,72.2,mg/L,Y,0.1,,,EPA 6020,,,,,,,,,MR2490-04,67044,7/30/2012,Calcium (Ca),72200,ug/L,0,43.3,97,,FALSE,,0,,
932640,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,2/29/2012,10:35:00 AM,Calcium_Dissolved,,71.4,mg/L,Y,0.05,,,SW-846 6010C,,,,,,,,,MR2490-01,67044,7/30/2012,Dissolved Calcium (Ca),71.4,mg/L,0,27.1,98.5,,FALSE,,0,,
932597,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,2/29/2012,10:35:00 AM,Chloride_Cl,,350,mg/L,Y,5,,,EPA 325.2,,,,,,,,,MR2490-01,67044,7/30/2012,Dissolved Chloride (Cl),350,mg/L,-1,27.4,245,,FALSE,,0,,
916854,CVC Field Data,IWMP,FieldGrab,Dry,501060002,Levi Creek u/s Derry Rd,2/29/2012,10:35:00 AM,DO_Field,,13.45,mg/L,,,,,,,,0,,,,,,,67044,5/24/2012,DO Field,13.45,mg/L,0,7,13.5,,FALSE,,0,,
932612,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,2/29/2012,10:35:00 AM,Magnesium_Dissolved,,14.8,mg/L,Y,0.05,,,SW-846 6010C,,,,,,,,,MR2490-01,67044,7/30/2012,Dissolved Magnesium (Mg),14.8,mg/L,0,3.89,24,,FALSE,,0,,
932613,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,2/29/2012,10:35:00 AM,Magnesium_Mg,,17,mg/L,Y,0.025,,,EPA 6020,,,,,,,,,MR2490-04,67044,7/30/2012,Magnesium (Mg),17000,ug/L,0,12,26.2,,FALSE,,0,,
932588,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,2/29/2012,10:35:00 AM,NO2_N,,0.09,mg/L,Y,0.01,,,SM 4500 NO3I/NO2B,,,,,,,,,MR2490-01,67044,7/30/2012,Nitrite (N),0.09,mg/L,-1,0.005,0.073,,FALSE,,0,,
932603,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,2/29/2012,10:35:00 AM,NO3_N,,21,mg/L,Y,0.5,,,SM 4500 NO3I/NO2B,,,,,,,,,MR2490-01,67044,7/30/2012,Nitrate (N),21,mg/L,-1,0.2,3.3,,FALSE,,0,,
916581,CVC Field Data,IWMP,FieldGrab,Dry,501060002,Levi Creek u/s Derry Rd,2/29/2012,10:35:00 AM,pH_Field,,8.1,pH Units,,,,,,,,0,,,,,,,67044,5/24/2012,pH Field,8.1,pH Units,0,7.13,8.34,,FALSE,,0,,
932592,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,2/29/2012,10:35:00 AM,pH_Lab,,8.12,pH Units,Y,,,,SM 4500H+ B,,,,,,,,,MR2490-01,67044,7/30/2012,pH,8.12,pH,0,7.95,8.47,,FALSE,,0,,
932618,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,2/29/2012,10:35:00 AM,Potassium_K,,17.4,mg/L,Y,0.1,,,EPA 6020,,,,,,,,,MR2490-04,67044,7/30/2012,Potassium (K),17400,ug/L,-1,1.45,6.83,,FALSE,,0,,
932622,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,2/29/2012,10:35:00 AM,Sodium_Na,,279,mg/L,Y,0.05,,,EPA 6020,,,,,,,,,MR2490-04,67044,7/30/2012,Sodium (Na),279000,ug/L,-1,20.1,165,,FALSE,,0,,
932599,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,2/29/2012,10:35:00 AM,Total_Dissolved_Solids_TDS,,932,mg/L,Y,10,,,APHA 2540C,,,,,,,,,MR2490-03,67044,7/30/2012,Total Dissolved Solids,932,mg/L,-1,262,906,,FALSE,,0,,
932995,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,3/28/2012,10:45:00 AM,Ammonia_N,,0.04,mg/L,Y,0.01,,,US GS I-2522-90,,,,,,,,,MY0802-05,67044,7/30/2012,Total Ammonia-N,0.04,mg/L,0,0.006,0.3,,FALSE,,0,,
933040,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,3/28/2012,10:45:00 AM,Calcium_Ca,,63.9,mg/L,Y,0.04,,,EPA 6020,,,,,,,,,MY0802-04,67044,7/30/2012,Calcium (Ca),63900,ug/L,0,43.3,97,,FALSE,,0,,
933039,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,3/28/2012,10:45:00 AM,Calcium_Dissolved,,62.9,mg/L,Y,0.05,,,SW-846 6010C,,,,,,,,,MY0802-01,67044,7/30/2012,Dissolved Calcium (Ca),62.9,mg/L,0,27.1,98.5,,FALSE,,0,,
932996,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,3/28/2012,10:45:00 AM,Chloride_Cl,,300,mg/L,Y,4,,,EPA 325.2,,,,,,,,,MY0802-01,67044,7/30/2012,Dissolved Chloride (Cl),300,mg/L,-1,27.4,245,,FALSE,,0,,
916864,CVC Field Data,IWMP,FieldGrab,Dry,501060002,Levi Creek u/s Derry Rd,3/28/2012,10:45:00 AM,DO_Field,,11.4,mg/L,,,,,,,,0,,,,,,,67044,5/24/2012,DO Field,11.4,mg/L,0,7,13.5,,FALSE,,0,,
933011,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,3/28/2012,10:45:00 AM,Magnesium_Dissolved,,15.4,mg/L,Y,0.05,,,SW-846 6010C,,,,,,,,,MY0802-01,67044,7/30/2012,Dissolved Magnesium (Mg),15.4,mg/L,0,3.89,24,,FALSE,,0,,
933012,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,3/28/2012,10:45:00 AM,Magnesium_Mg,,15,mg/L,Y,0.01,,,EPA 6020,,,,,,,,,MY0802-04,67044,7/30/2012,Magnesium (Mg),15000,ug/L,0,12,26.2,,FALSE,,0,,
932987,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,3/28/2012,10:45:00 AM,NO2_N,,0.11,mg/L,Y,0.01,,,SM 4500 NO3I/NO2B,,,,,,,,,MY0802-01,67044,7/30/2012,Nitrite (N),0.11,mg/L,-1,0.005,0.073,,FALSE,,0,,
933002,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,3/28/2012,10:45:00 AM,NO3_N,,49,mg/L,Y,2,,,SM 4500 NO3I/NO2B,,,,,,,,,MY0802-01,67044,7/30/2012,Nitrate (N),49,mg/L,-1,0.2,3.3,,FALSE,,0,,
916591,CVC Field Data,IWMP,FieldGrab,Dry,501060002,Levi Creek u/s Derry Rd,3/28/2012,10:45:00 AM,pH_Field,,8.28,pH Units,,,,,,,,0,,,,,,,67044,5/24/2012,pH Field,8.28,pH Units,0,7.13,8.34,,FALSE,,0,,
932991,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,3/28/2012,10:45:00 AM,pH_Lab,,8.18,pH Units,Y,,,,SM 4500H+ B,,,,,,,,,MY0802-01,67044,7/30/2012,pH,8.18,pH,0,7.95,8.47,,FALSE,,0,,
933017,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,3/28/2012,10:45:00 AM,Potassium_K,,38.1,mg/L,Y,0.04,,,EPA 6020,,,,,,,,,MY0802-04,67044,7/30/2012,Potassium (K),38100,ug/L,-1,1.45,6.83,,FALSE,,0,,
933021,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,3/28/2012,10:45:00 AM,Sodium_Na,,280,mg/L,Y,0.1,,,EPA 6020,,,,,,,,,MY0802-04,67044,7/30/2012,Sodium (Na),280000,ug/L,-1,20.1,165,,FALSE,,0,,
932998,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,3/28/2012,10:45:00 AM,Total_Dissolved_Solids_TDS,,1130,mg/L,Y,10,,,APHA 2540C,,,,,,,,,MY0802-03,67044,7/30/2012,Total Dissolved Solids,1130,mg/L,-1,262,906,,FALSE,,0,,
933644,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,4/25/2012,10:20:00 AM,Ammonia_N,,0.01,mg/L,<,0.01,,,US GS I-2522-90,,,,,,,,,NF4706-05,67044,7/30/2012,Total Ammonia-N,<0.01,mg/L,0,0.006,0.3,,FALSE,,0,,
933689,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,4/25/2012,10:20:00 AM,Calcium_Ca,,67.9,mg/L,Y,0.2,,,EPA 6020,,,,,,,,,NF4706-04,67044,7/30/2012,Calcium (Ca),67900,ug/L,0,43.3,97,,FALSE,,0,,
933688,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,4/25/2012,10:20:00 AM,Calcium_Dissolved,,67.1,mg/L,Y,0.05,,,SW-846 6010C,,,,,,,,,NF4706-01,67044,7/30/2012,Dissolved Calcium (Ca),67.1,mg/L,0,27.1,98.5,,FALSE,,0,,
933645,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,4/25/2012,10:20:00 AM,Chloride_Cl,,33,mg/L,Y,1,,,EPA 325.2,,,,,,,,,NF4706-01,67044,7/30/2012,Dissolved Chloride (Cl),33,mg/L,0,27.4,245,,FALSE,,0,,
916874,CVC Field Data,IWMP,FieldGrab,Dry,501060002,Levi Creek u/s Derry Rd,4/25/2012,10:20:00 AM,DO_Field,,13.14,mg/L,,,,,,,,0,,,,,,,67044,5/24/2012,DO Field,13.14,mg/L,0,7,13.5,,FALSE,,0,,
933660,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,4/25/2012,10:20:00 AM,Magnesium_Dissolved,,17.7,mg/L,Y,0.05,,,SW-846 6010C,,,,,,,,,NF4706-01,67044,7/30/2012,Dissolved Magnesium (Mg),17.7,mg/L,0,3.89,24,,FALSE,,0,,
933661,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,4/25/2012,10:20:00 AM,Magnesium_Mg,,18.7,mg/L,Y,0.05,,,EPA 6020,,,,,,,,,NF4706-04,67044,7/30/2012,Magnesium (Mg),18700,ug/L,0,12,26.2,,FALSE,,0,,
933636,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,4/25/2012,10:20:00 AM,NO2_N,,0.031,mg/L,Y,0.01,,,SM 4500 NO3I/NO2B,,,,,,,,,NF4706-01,67044,7/30/2012,Nitrite (N),0.031,mg/L,0,0.005,0.073,,FALSE,,0,,
933651,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,4/25/2012,10:20:00 AM,NO3_N,,21,mg/L,Y,1,,,SM 4500 NO3I/NO2B,,,,,,,,,NF4706-01,67044,7/30/2012,Nitrate (N),21,mg/L,-1,0.2,3.3,,FALSE,,0,,
916601,CVC Field Data,IWMP,FieldGrab,Dry,501060002,Levi Creek u/s Derry Rd,4/25/2012,10:20:00 AM,pH_Field,,8.25,pH Units,,,,,,,,0,,,,,,,67044,5/24/2012,pH Field,8.25,pH Units,0,7.13,8.34,,FALSE,,0,,
933640,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,4/25/2012,10:20:00 AM,pH_Lab,,8.22,pH Units,Y,,,,SM 4500H+ B,,,,,,,,,NF4706-01,67044,7/30/2012,pH,8.22,pH,0,7.95,8.47,,FALSE,,0,,
933666,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,4/25/2012,10:20:00 AM,Potassium_K,,24.1,mg/L,Y,0.2,,,EPA 6020,,,,,,,,,NF4706-04,67044,7/30/2012,Potassium (K),24100,ug/L,-1,1.45,6.83,,FALSE,,0,,
933670,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,4/25/2012,10:20:00 AM,Sodium_Na,,354,mg/L,Y,0.1,,,EPA 6020,,,,,,,,,NF4706-04,67044,7/30/2012,Sodium (Na),354000,ug/L,-1,20.1,165,,FALSE,,0,,
933647,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,4/25/2012,10:20:00 AM,Total_Dissolved_Solids_TDS,,1180,mg/L,Y,10,,,APHA 2540C,,,,,,,,,NF4706-03,67044,7/30/2012,Total Dissolved Solids,1180,mg/L,-1,262,906,,FALSE,,0,,
934152,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,5/30/2012,12:45:00 PM,Ammonia_N,,0.01,mg/L,<,0.01,,,US GS I-2522-90,,,,,,,,,NP9439-05,67044,7/30/2012,Total Ammonia-N,<0.01,mg/L,0,0.006,0.3,,FALSE,,0,,
934197,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,5/30/2012,12:45:00 PM,Calcium_Ca,,39.1,mg/L,Y,0.1,,,EPA 6020,,,,,,,,,NP9439-04,67044,7/30/2012,Calcium (Ca),39100,ug/L,-1,43.3,97,,FALSE,,0,,
934196,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,5/30/2012,12:45:00 PM,Calcium_Dissolved,,40.3,mg/L,Y,0.05,,,SW-846 6010C,,,,,,,,,NP9439-01,67044,7/30/2012,Dissolved Calcium (Ca),40.3,mg/L,0,27.1,98.5,,FALSE,,0,,
934153,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,5/30/2012,12:45:00 PM,Chloride_Cl,,330,mg/L,Y,4,,,EPA 325.2,,,,,,,,,NP9439-01,67044,7/30/2012,Dissolved Chloride (Cl),330,mg/L,-1,27.4,245,,FALSE,,0,,
960873,CVC Field Data,IWMP,FieldGrab,,501060002,Levi Creek u/s Derry Rd,5/30/2012,12:45:00 PM,DO_Field,,12.32,mg/L,,,,,,,,0,,,,,,,12003,4/25/2014,DO Field,12.32,mg/L,0,7,13.5,,FALSE,,0,"1-3 mm of rain in upper watershed on May 29.  Partly cloudy, high of 25.",
934168,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,5/30/2012,12:45:00 PM,Magnesium_Dissolved,,12.2,mg/L,Y,0.05,,,SW-846 6010C,,,,,,,,,NP9439-01,67044,7/30/2012,Dissolved Magnesium (Mg),12.2,mg/L,0,3.89,24,,FALSE,,0,,
934169,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,5/30/2012,12:45:00 PM,Magnesium_Mg,,13,mg/L,Y,0.025,,,EPA 6020,,,,,,,,,NP9439-04,67044,7/30/2012,Magnesium (Mg),13000,ug/L,0,12,26.2,,FALSE,,0,,
934144,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,5/30/2012,12:45:00 PM,NO2_N,,0.16,mg/L,Y,0.01,,,SM 4500 NO3I/NO2B,,,,,,,,,NP9439-01,67044,7/30/2012,Nitrite (N),0.16,mg/L,-1,0.005,0.073,,FALSE,,0,,
934159,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,5/30/2012,12:45:00 PM,NO3_N,,43,mg/L,Y,1,,,SM 4500 NO3I/NO2B,,,,,,,,,NP9439-01,67044,7/30/2012,Nitrate (N),43,mg/L,-1,0.2,3.3,,FALSE,,0,,
960806,CVC Field Data,IWMP,FieldGrab,,501060002,Levi Creek u/s Derry Rd,5/30/2012,12:45:00 PM,pH_Field,,8.71,pH Units,,,,,,,,0,,,,,,,12003,4/25/2014,pH Field,8.71,pH Units,-1,7.13,8.34,,FALSE,,0,"1-3 mm of rain in upper watershed on May 29.  Partly cloudy, high of 25.",
934148,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,5/30/2012,12:45:00 PM,pH_Lab,,8.59,pH Units,Y,,,,SM 4500H+ B,,,,,,,,,NP9439-01,67044,7/30/2012,pH,8.59,pH,-1,7.95,8.47,,FALSE,,0,,
934174,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,5/30/2012,12:45:00 PM,Potassium_K,,58.6,mg/L,Y,0.1,,,EPA 6020,,,,,,,,,NP9439-04,67044,7/30/2012,Potassium (K),58600,ug/L,-1,1.45,6.83,,FALSE,,0,,
934178,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,5/30/2012,12:45:00 PM,Sodium_Na,,376,mg/L,Y,0.05,,,EPA 6020,,,,,,,,,NP9439-04,67044,7/30/2012,Sodium (Na),376000,ug/L,-1,20.1,165,,FALSE,,0,,
934155,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,5/30/2012,12:45:00 PM,Total_Dissolved_Solids_TDS,,1310,mg/L,Y,10,,,APHA 2540C,,,,,,,,,NP9439-03,67044,7/30/2012,Total Dissolved Solids,1310,mg/L,-1,262,906,,FALSE,,0,,
934705,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,6/27/2012,1:10:00 PM,Ammonia_N,,0.06,mg/L,Y,0.01,,,US GS I-2522-90,,,,,,,,,NY3728-05,67044,7/30/2012,Total Ammonia-N,0.06,mg/L,0,0.006,0.3,,FALSE,,0,,
934750,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,6/27/2012,1:10:00 PM,Calcium_Ca,,42.6,mg/L,Y,0.02,,,EPA 6020,,,,,,,,,NY3728-04,67044,7/30/2012,Calcium (Ca),42600,ug/L,-1,43.3,97,,FALSE,,0,,
934749,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,6/27/2012,1:10:00 PM,Calcium_Dissolved,,41.8,mg/L,Y,0.05,,,SW-846 6010C,,,,,,,,,NY3728-01,67044,7/30/2012,Dissolved Calcium (Ca),41.8,mg/L,0,27.1,98.5,,FALSE,,0,,
934706,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,6/27/2012,1:10:00 PM,Chloride_Cl,,350,mg/L,Y,5,,,EPA 325.2,,,,,,,,,NY3728-01,67044,7/30/2012,Dissolved Chloride (Cl),350,mg/L,-1,27.4,245,,FALSE,,0,,
960883,CVC Field Data,IWMP,FieldGrab,,501060002,Levi Creek u/s Derry Rd,6/27/2012,1:10:00 PM,DO_Field,,8.23,mg/L,,,,,,,,0,,,,,,,12003,4/25/2014,DO Field,8.23,mg/L,0,7,13.5,,FALSE,,0,"Overcast, high of 28. no rain in past 48 hrs, light rain began at 12:00.",
934721,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,6/27/2012,1:10:00 PM,Magnesium_Dissolved,,12.8,mg/L,Y,0.05,,,SW-846 6010C,,,,,,,,,NY3728-01,67044,7/30/2012,Dissolved Magnesium (Mg),12.8,mg/L,0,3.89,24,,FALSE,,0,,
934722,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,6/27/2012,1:10:00 PM,Magnesium_Mg,,12.9,mg/L,Y,0.005,,,EPA 6020,,,,,,,,,NY3728-04,67044,7/30/2012,Magnesium (Mg),12900,ug/L,0,12,26.2,,FALSE,,0,,
934697,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,6/27/2012,1:10:00 PM,NO2_N,,0.095,mg/L,Y,0.01,,,SM 4500 NO3I/NO2B,,,,,,,,,NY3728-01,67044,7/30/2012,Nitrite (N),0.095,mg/L,-1,0.005,0.073,,FALSE,,0,,
934712,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,6/27/2012,1:10:00 PM,NO3_N,,56,mg/L,Y,2,,,SM 4500 NO3I/NO2B,,,,,,,,,NY3728-01,67044,7/30/2012,Nitrate (N),56,mg/L,-1,0.2,3.3,,FALSE,,0,,
960816,CVC Field Data,IWMP,FieldGrab,,501060002,Levi Creek u/s Derry Rd,6/27/2012,1:10:00 PM,pH_Field,,8.21,pH Units,,,,,,,,0,,,,,,,12003,4/25/2014,pH Field,8.21,pH Units,0,7.13,8.34,,FALSE,,0,"Overcast, high of 28. no rain in past 48 hrs, light rain began at 12:00.",
934701,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,6/27/2012,1:10:00 PM,pH_Lab,,8.11,pH Units,Y,,,,SM 4500H+ B,,,,,,,,,NY3728-01,67044,7/30/2012,pH,8.11,pH,0,7.95,8.47,,FALSE,,0,,
934727,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,6/27/2012,1:10:00 PM,Potassium_K,,56.9,mg/L,Y,0.02,,,EPA 6020,,,,,,,,,NY3728-04,67044,7/30/2012,Potassium (K),56900,ug/L,-1,1.45,6.83,,FALSE,,0,,
934731,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,6/27/2012,1:10:00 PM,Sodium_Na,,364,mg/L,Y,0.1,,,EPA 6020,,,,,,,,,NY3728-04,67044,7/30/2012,Sodium (Na),364000,ug/L,-1,20.1,165,,FALSE,,0,,
934708,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,6/27/2012,1:10:00 PM,Total_Dissolved_Solids_TDS,,1250,mg/L,Y,10,,,APHA 2540C,,,,,,,,,NY3728-03,67044,7/30/2012,Total Dissolved Solids,1250,mg/L,-1,262,906,,FALSE,,0,,
962376,Maxxam,IWMP,FieldGrab,,501060002,Levi Creek u/s Derry Rd,7/25/2012,12:44:00 PM,Ammonia_N,,0.09,mg/L,Y,0.01,,,US GS I-2522-90,,,,,,,,,OG7306-05,12003,4/25/2014,Total Ammonia-N,0.09,mg/L,0,0.006,0.3,,FALSE,,0,,
962421,Maxxam,IWMP,FieldGrab,,501060002,Levi Creek u/s Derry Rd,7/25/2012,12:44:00 PM,Calcium_Ca,,66.6,mg/L,Y,0.1,,,EPA 6020,,,,,,,,,OG7306-04,12003,4/25/2014,Calcium (Ca),66600,ug/L,0,43.3,97,,FALSE,,0,,
962420,Maxxam,IWMP,FieldGrab,,501060002,Levi Creek u/s Derry Rd,7/25/2012,12:44:00 PM,Calcium_Dissolved,,63.7,mg/L,Y,0.05,,,SW-846 6010C,,,,,,,,,OG7306-01,12003,4/25/2014,Dissolved Calcium (Ca),63.7,mg/L,0,27.1,98.5,,FALSE,,0,,
962377,Maxxam,IWMP,FieldGrab,,501060002,Levi Creek u/s Derry Rd,7/25/2012,12:44:00 PM,Chloride_Cl,,470,mg/L,Y,5,,,EPA 325.2,,,,,,,,,OG7306-01,12003,4/25/2014,Dissolved Chloride (Cl),470,mg/L,-1,27.4,245,,FALSE,,0,,
