STATION,NAME,DESCRIPTION,LATITUDE,LONGITUDE,STATUS,FIRST_YEAR,LAST_YEAR,TOTAL_YEARS,MISS_YEARS
03001500102,Pottawatomi River,"Fourth Ave Owen Sound,",44.57459664,-80.95130623,I,1964,1978,14,1
03001500202,Pottawatomi River,"14Th Street,  Owen Sound,",44.57429939,-80.96008648,A,1975,2021,42,5
03001500302,Pottawatomi River,"At Eddie Sargent Pkwy Owen Sound,",44.57549176,-80.94776761,I,1977,1979,3,0
03001600102,Sydenham River,"At 10Th Street West City Of Owen Sound,",44.56757676,-80.94423586,I,1964,1979,11,5
03007702902,Holland River,"Simcoe Cnty Rd 27,  N. Of Schomberg,",44.01385739,-79.67910198,A,1977,2021,37,8
03007703002,Holland River,"At York Regional Road No 32,",44.18176939,-79.51693898,I,1977,1995,19,0
03007703102,Black River,"At Highway No 169,",44.71405451,-79.28147211,I,1977,1993,17,0
03007703202,Uxbridge Brook,"Downstream Of Brookdale Lake Uxbridge,",44.09525676,-79.09789286,I,1977,1991,15,0
03007703302,Maskinonge-Jersey River,"County Rd. 8,",44.18702951,-79.43670911,I,1985,1995,11,0
03007703402,Maskinonge River,"Glenwood Ave,  North Gwillimbury Twp.,",44.22387364,-79.42133711,A,1985,2021,30,7
03008501701,Lake Muskoka,"7/10Th Miles Due East Of Pine Island,",45.04718602,-79.40255136,I,1969,1970,2,0
03008501802,Medora Creek,"Above Highway 69,",45.05165502,-79.63052673,I,1969,1969,1,0
03008501901,Lake Muskoka,"Centre Of Muskoka Bay,",44.92719676,-79.39784323,I,1969,1970,2,0
03008502001,Lake Muskoka,"Near Rex Island,",44.96904602,-79.41298148,I,1969,1970,2,0
03008502102,Pigeon Creek,"At Highway No 69,",44.94991427,-79.43669073,I,1969,1969,1,0
03008502202,Hawk Rock River,"Below Gull Lake At County Road,",44.93253101,-79.35662698,I,1969,1969,1,0
03008502301,Lake Rosseau,"Near Little Pine Island,",45.14830177,-79.59997623,I,1969,1970,2,0
03008502401,Lake Rosseau,"Near Belle Island,",45.22154989,-79.56364761,I,1969,1970,2,0
03008502502,Dee River,"Near Dee Bank,",45.17916777,-79.52366348,I,1969,1969,1,0
03008502602,Skeleton Creek,"At Highway 532,",45.21994564,-79.53150811,I,1969,1969,1,0
03008502702,Wier Creek,"At Highway 532,",45.22640964,-79.55872886,I,1969,1969,1,0
03008502802,Rosseau River,"Highway 141 Near Rosseau Falls,",45.23898952,-79.58380298,I,1969,1995,26,1
03008502902,Shadow River,"At Highway 532,",45.27235852,-79.67402198,I,1969,1969,1,0
03008503001,Lake Joseph,"Below Yoho Island,",45.17851002,-79.74828998,I,1969,1970,2,0
03008503101,Lake Vernon,"Near Centreview Island,",45.32811977,-79.27408186,I,1970,1971,2,0
03008503202,East River,"Highway 11 5 Miles North Of Huntsville,",45.37945939,-79.22242548,I,1969,1995,26,1
03008503301,Lake Joseph,"Near Sandy Point,",45.19865352,-79.68366523,I,1970,1970,1,0
03008503402,East River,"Ravencliff Road Huntsville,",45.34628952,-79.25136811,I,1971,1977,6,1
03008503502,Muskoka River,"At Dock Trans-Canada Pipeline Crossing,",45.02739164,-79.32868036,I,1978,1993,16,0
03008503602,Parrot Creek,"At Highway No 60 East Of Huntsville,",45.33816339,-79.19654236,I,1978,1978,1,0
03009200102,Moon River,"Hwy 69,  0.5Km N Of Twelve Mile Bay Rd,",45.06348389,-79.78656886,I,1966,2005,32,8
03009200202,Moon River,"Roselawn Inn (B&B),  1039 River Street,Bala",45.02136639,-79.63250348,I,2005,2005,1,0
03009600102,Oastler Lake Outlet,"Highway 69 4 Miles South Of Parry Sound,",45.31621752,-79.98341423,I,1972,1976,5,0
03009600202,Boyne River,"Otter Lake Outlet South Of Parry Sound,",45.30295827,-79.95299948,I,1972,1983,12,0
03009600301,Otter Lake,"Otter Lake Narrows South Of Parry Sound,",45.29265577,-79.94799086,I,1972,1979,8,0
03009700102,Mc Curry Lake Outlet,"Emil Street Parry Sound,",45.33063852,-80.02898561,I,1966,1983,18,0
03009800102,Seguin River,"At Highway 69B Parry Sound,",45.34358777,-80.03129998,I,1973,1994,14,8
03009800202,Seguin River,"1 Km East Of Badger'S Corners,",45.39677977,-80.01756198,I,1988,1992,5,0
03009800302,Seguin River,"At Macdougall Rd,",45.39916314,-79.94745398,I,1988,1994,7,0
03009800402,Seguin River,"1/2 Km Dnstr. Macdougall Rd.,",45.39921139,-79.95494473,I,1988,1994,7,0
03009800502,Sequin River,"Dnst. Of Mountain Shute,",45.40038489,-80.00042736,I,1988,1992,5,0
03011500102,Shawanaga River,"At Highway 69,",45.54972877,-80.28442248,I,1973,2002,9,21
03002700102,Orchard Creek,"At Grandview Drive,  Meaford,",44.62377089,-80.61122861,I,1964,1978,9,6
03003000102,Bighead River,"Trowbridge Street Meaford,",44.60730876,-80.58909573,I,1964,1975,12,0
03003000202,Bighead River,"Sideroad 13,  St. Vincent Twp.,S. Of Oxmead",44.56987776,-80.64850398,A,1975,2021,42,5
03003600102,Beaver River,"Upstream From Georgian Bay,",44.56411851,-80.44896523,I,1964,1996,21,12
03003600202,Beaver River,"At Railroad Bridge Thornbury,",44.56281914,-80.45077698,I,1972,1987,14,2
03003600302,Beaver River,"At North Channel Near Kimberly,",44.39353514,-80.53847386,I,1975,1978,4,0
03003600402,Beaver River,"At South Channel Near Kimberly,",44.39176864,-80.53801061,I,1975,1978,4,0
03003600502,Boyne River,"East Back Ln,  Downstrm Flesherton,",44.27958714,-80.54585836,A,1975,2021,42,5
03003600602,Beaver River,"At Grey County Road No 2  Feversham,",44.33798964,-80.37770336,I,1978,1996,19,0
03003600702,Beaver River,"At County Road No.10 Osprey Township,",44.35390976,-80.36840023,I,1978,1996,19,0
03003600802,Beaver River,"At County Road No.8 Osprey Township,",44.33594601,-80.36302361,I,1978,1996,19,0
03003600902,Beaver River,"Grey Cnty Rd 30,  S. Of Kimberley,",44.34604251,-80.54015148,A,1978,2021,39,5
03003601002,Beaver River,"Slabtown Rd,  E Of Grey Cnty Rd 13,",44.52027901,-80.46674361,A,2002,2021,20,0
03004000102,Mountain Stream West Branch,"At Highway No 26,",44.53578514,-80.38842636,I,1965,1971,7,0
03004100102,Mountain Stream East Branch,"At Highway No 26,",44.53611364,-80.38254486,I,1965,1971,7,0
03004700102,Silver Creek,"At Highway No 26 Collingwood,",44.51964864,-80.27705848,A,1966,2021,47,9
03004700202,Silver Creek,"At Mountainview Road Collingwood,",44.49892589,-80.27786173,I,1966,1975,7,3
03004900102,Black Ash Creek,"Highway 26 Collingwood,",44.50618689,-80.23580373,A,1972,2021,22,28
03004900202,Black Ash Creek,"At Sixth St. Branch,",44.49003926,-80.24235723,I,1986,1987,2,0
03004900302,Black Ash Creek,"At Sixth St.,  East Branch,",44.49087764,-80.23834086,I,1986,1987,2,0
03005300102,Pretty River,"Pretty River Parkway Bridge,  Collingwood,",44.50308626,-80.19772461,A,1964,2021,52,6
03005300102,Pretty River,"Pretty River Parkway Bridge,  Collingwood,",44.50308626,-80.19772461,A,1964,2021,52,6
03005300202,Pretty River,"At Highway No 24 Nottawa,",44.46264151,-80.20905048,I,1975,1975,1,0
03005400102,Batteaux River,"At Highway 26 Collingwood,",44.48831889,-80.16709086,A,1964,2021,37,21
03005400202,Batteaux River,"At Highway 91,",44.40513139,-80.15935298,I,1975,1975,1,0
03005700102,Boyne River,"At County Road 10 Alliston,",44.16080364,-79.84437786,I,1964,1983,9,11
03005700202,Boyne River,"At Road West Of Alliston Dam,",44.15341414,-79.87918698,I,1967,1988,7,15
03005700302,Boyne River,"Conc. Rd. 6 Earl Rowe Provincial Park,",44.15272176,-79.89683998,I,1967,1990,24,0
03005700402,Pine Creek,"Below Camp Borden Stp,",44.30234714,-79.89816623,I,1966,1971,6,0
03005700502,Pine River,"Upstream From Camp Borden Stp,",44.30045439,-79.90078823,I,1966,1990,25,0
03005700602,Nottawasaga River,"Highway 92 Wasaga Beach,",44.52349114,-80.01758711,I,1968,1989,8,14
03005700683,Nottawasaga River,"At Highway 92 Wasaga Beach,",44.52349151,-80.01758811,I,1973,1995,23,0
03005700702,Boyne River,"Simcoe Cnty Rd 10,  Dwnstrm Alliston,",44.16306064,-79.82948636,A,1970,2021,51,1
03005700702,Boyne River,"Simcoe Cnty Rd 10,  Dwnstrm Alliston,",44.16306064,-79.82948636,A,1970,2021,51,1
03005700902,Lamont Creek,"Highway 26,  King St,  Stayner,",44.42146551,-80.09668648,I,1972,2004,33,0
03005701002,Pine River,"Upstream Nottawasaga Rv.,  Mill St. Angus,",44.31854764,-79.88647448,A,1972,2021,50,0
03005701102,Boyne River,"1St.Br.On Highway 24 N.Of Highway 10,",44.08509239,-80.18897986,I,1972,1995,22,2
03005701202,Boyne River,"1St.Conc.E.Of Hwy.24 N.Of Hwy 10,",44.10734376,-80.17684448,I,1972,1995,22,2
03005701302,Beeton Creek,"At Bridge On N-S.Rd.North Of Beeton,",44.09518314,-79.78511323,I,1972,1987,7,9
03005701402,Beeton Creek,"Second Concession Rd North Of Beeton,",44.10783514,-79.77135998,I,1972,1997,26,0
03005701502,Boyne River Trib,"Conc Rd No 5 Tosorontio Township Ag-9A,",44.15282626,-79.91413348,I,1974,1974,1,0
03005701602,Boyne River,"At Highway 10 And 89 Shelburne,",44.08027226,-80.19478611,I,1975,1978,4,0
03005701702,Nottawasaga River,"At Concession Road 2 Adjala Township,",44.04441439,-79.94018836,I,1975,1977,3,0
03005701802,Sheldon Creek,"At Concession Road 3 Adjala Township,",44.09200876,-79.95194673,I,1975,1975,1,0
03005701902,Boyne River,"At Concession Road 6 Mulmur Township,",44.16426426,-80.00225273,I,1975,1977,3,0
03005702002,Pine River,"At Concession Road 6 Mulmur Township,",44.19718939,-80.01085411,I,1975,1996,7,15
03005702102,Mad River,"Conc 3,  Tosorontio Twp,  Ne Of Glencairn,",44.30520214,-80.00167986,A,1975,2021,47,0
03005702102,Mad River,"Conc 3,  Tosorontio Twp,  Ne Of Glencairn,",44.30520214,-80.00167986,A,1975,2021,47,0
03005702202,Mad River,"At County Rd 9 Near Creemore,",44.32460826,-80.13527886,I,1975,1977,3,0
03005702302,Nottawasaga River,"At Highway No 26 Edenvale,",44.45196964,-79.89842711,I,1977,1990,14,0
03005702402,Beeton Creek,"Simcoe Cnty Rd 10,  North Of Tottenham,",44.04108851,-79.81122698,I,1977,2002,26,0
03005702502,Nottawasaga River,"Klondike Park Rd.,  Upstrm Wasaga Beach,",44.47547451,-80.00712811,A,1982,2021,40,0
03005702502,Nottawasaga River,"Klondike Park Rd.,  Upstrm Wasaga Beach,",44.47547451,-80.00712811,A,1982,2021,40,0
03005702802,Nottawasaga River,"Mono Adjala Townline,  Hockley,",44.02452589,-79.96972211,A,2002,2021,20,0
03005702802,Nottawasaga River,"Mono Adjala Townline,  Hockley,",44.02452589,-79.96972211,A,2002,2021,20,0
03005702902,Nottawasaga River,"Simcoe Cnty Rd 21,  Murphy Rd, ,E. Of Baxter",44.24946051,-79.82159811,A,2002,2021,20,0
03005702902,Nottawasaga River,"Simcoe Cnty Rd 21,  Murphy Rd, ,E. Of Baxter",44.24946051,-79.82159811,A,2002,2021,20,0
03005703002,Willow Creek,"Simcoe Cnty Rd 28,  S. Of Minesing,",44.42213889,-79.82357036,A,2002,2021,20,0
03005703002,Willow Creek,"Simcoe Cnty Rd 28,  S. Of Minesing,",44.42213889,-79.82357036,A,2002,2021,20,0
03005703102,Innisfil Creek,"10Th Sideroad New Tecumseh,  N Of Beeton,",44.13108751,-79.79639598,A,2002,2021,20,0
03005703102,Innisfil Creek,"10Th Sideroad New Tecumseh,  N Of Beeton,",44.13108751,-79.79639598,A,2002,2021,20,0
03005703202,Beeton Creek,"11Th Line,  New Tecumseh,  N. Of Beeton,",44.12334439,-79.75892123,A,1998,2021,24,0
03005703302,Mcintyre Creek,"Sunnidale Road,  Wasaga Beach,",44.46733464,-80.04783873,A,2006,2021,16,0
03005703402,Coates Creek,"Simcoe Cnty Rd 10,  N. Of Brentwood,",44.36138051,-79.94164286,A,2006,2021,16,0
03005703502,Bear Creek,"5Th Line,  E. Of Angus,",44.33010151,-79.85476311,A,2006,2021,16,0
03005703602,Black Creek,"Simcoe Cnty Rd 28,  N. Of Grenfell,",44.41881476,-79.82061923,A,2006,2021,16,0
03005703702,Marl Creek,"Hwy 26,  N. Of Minesing,",44.45713651,-79.85497086,A,2006,2021,16,0
03006600102,Copeland Creek,"Lafontaine Rd,  Penetang,",44.76173314,-79.95878136,A,2002,2021,20,0
03007000102,Wye River,"At Highway 12 East Of Midland,",44.73597889,-79.84539798,I,1973,1993,21,0
03007000202,Wye River,"At County Road No. 6 North Of Elmvale,",44.61703214,-79.89530561,I,1977,1993,17,0
03007000302,Wye River,"Footbridge,  Outlet Of Wye Marsh,Ste. Marie Site",44.73194951,-79.84641461,A,2002,2021,20,0
03007000402,Wye River,"Dawsons Rd,  E. Of Wyevale,",44.64988101,-79.90361398,A,2002,2021,20,0
03007000502,Wye River,"Simcoe Rd 27,  Elmvale,",44.57712664,-79.86026898,A,2002,2021,20,0
03007300102,Hog Creek,"At Highway 12 East Of Midland,",44.73951151,-79.78531161,I,1973,1975,3,0
03007300202,Hog Creek,"Granny White Sdrd,  South Of,Victoria Harbour",44.72605614,-79.77889261,A,2002,2021,20,0
03007300302,Hog Creek,"Old Fort Rd,  At Hogg Valley Rd,",44.68728901,-79.79179673,A,2002,2021,20,0
03007500102,Sturgeon River,"At Highway 12 Sturgeon Bay,",44.73202576,-79.73292736,I,1973,1977,5,0
03007500202,Sturgeon River,"Rosemount Rd,  Sturgeon Bay,",44.73010676,-79.72941161,A,2002,2021,20,0
03007600102,Coldwater River,"At Cnr Bridge Coldwater,",44.70952989,-79.64442573,I,1973,1993,21,0
03007600202,North River,"At Simcoe County Rd 17,",44.75221489,-79.62593711,I,1973,1987,6,9
03007600302,Coldwater River,"Simcoe Cnty Rd 17,  Downtown Coldwater,",44.70729676,-79.64358186,A,2002,2021,20,0
03007600402,Coldwater River,"9Th Ln N,  Medonte Twp,  Near Hwy 400,",44.64546101,-79.63457136,A,2002,2021,20,0
03007600502,North River,"Laughlin Falls Rd,  Laughlin Falls,",44.76757014,-79.57837298,A,2002,2021,20,0
03007600602,Silver Creek,"0.5Km W. Of Carlyon Ln,  On Trail, ,Former Railroad",44.66792451,-79.45662573,A,2002,2021,20,0
03007700102,Holland River,"Queensville Road River Drive Park,",44.12649964,-79.50425248,I,1965,1995,30,1
03007700202,Holland River,"Reg Rd 1,  Bradford,",44.11323614,-79.54583973,A,1965,2021,50,7
03007700302,Holland River,"At Herald Road Newmarket,",44.07975764,-79.45489648,I,1964,2005,32,10
03007700402,Drainage Canal,"S-E Conc.And Newmarket Townline,",44.02686689,-79.60492286,I,1967,1995,28,1
03007700502,Drainage Canal,"At N-S Rd.West Gwillimbury Township,",44.03899051,-79.58362736,I,1967,1995,28,1
03007700602,Holland River,"Mulock Drive Newmarket,",44.04005851,-79.45936261,I,1965,1995,30,1
03007700702,Aurora Creek,"Yonge St N Of St. Andrew'S College,Aurora",44.02220026,-79.47285473,A,1964,2021,51,7
03007700802,Black River,"Mossington Bridge Sutton,",44.32230801,-79.34614111,I,1965,1995,31,0
03007700902,Uxbridge Brook,"Downstream From Uxbridge  Stp Outfall,",44.11546214,-79.12088823,I,1965,1971,7,0
03007701002,Beaverton River,"At Mouth Beaverton Harbour,",44.43220001,-79.16439998,I,1964,1987,9,15
03007701102,Beaverton River,"At First Side Road West Of Cannington,",44.35208264,-79.05513573,I,1964,1990,27,0
03007701202,Canal Lake Outlet,"Bridge,  Bolsover,",44.53386889,-79.07499873,I,1967,1994,28,0
03007701302,Severn River,"Outlet Of Gloucester Pool, ,Dam At Port Severn",44.80375139,-79.72022748,A,1968,2021,46,8
03007701402,Uxbridge Brook,"1St.Conc.Dnstr.Of Uxbridge Stp,",44.12138426,-79.12261036,I,1969,1993,25,0
03007701502,Schomberg River,"Second Road East Of Highway 400,",44.07303214,-79.56377086,I,1971,1990,8,12
03007701602,Schomberg River,"Second Road West Of Highway 400,",44.02773839,-79.62021098,I,1971,1977,7,0
03007701702,Drainage Canal,"Upstr.From Pumping Station N-W End,",44.04822326,-79.61897523,I,1971,1995,25,0
03007701802,Maskinonge Jersey River,"York County Road 12 South Of Keswick,",44.22792026,-79.46483936,I,1971,1995,25,0
03007701902,Black River,"Highway 48 Bridge Baldwin,",44.26086389,-79.34414236,I,1971,1995,25,0
03007702002,Black River,"Ont.Co.& York Regional Line Brown Hill,",44.20779526,-79.32152061,I,1971,1977,7,0
03007702102,Mount Albert Creek,"Queensville Sdrd,  N Of Mount Albert,",44.16663039,-79.32748086,A,1971,2021,45,6
03007702202,Lake Simcoe Outlet,"Highway 12 Therley,",44.60381414,-79.36952261,I,1971,1993,23,0
03007702302,Severn River,"At Highway No 11 Severn Bridge,",44.77648739,-79.33492948,I,1971,1993,23,0
03007702402,Bogart Creek,"1St.Conc.Rd.S-E Of Pleasantville,",44.03936101,-79.37760786,I,1972,1993,9,13
03007702502,Beaverton River,"Railroad Bridge Beaverton,",44.43113714,-79.15995773,I,1972,2003,23,9
03007702602,Lake Couchiching Outlet,"At Highway No. 169 Washago,",44.74656114,-79.32441873,I,1973,1993,21,0
03007702702,Pefferlaw Brook,"At Highway 48,  Georgina Twp,",44.33041001,-79.21773998,I,1973,2003,23,8
03007702802,Lovers Creek,"Tollendale Road,  Barrie,",44.37225239,-79.65129523,A,1974,2021,40,8
01000000101,Lake Superior,"Inside Eastern Gap Thunder Bay,",48.44882927,-89.17889024,I,1968,1995,28,0
01000000201,Lake Superior,"Off Mouth Of Kaministiquia River,",48.39349402,-89.19999937,I,1968,1995,28,0
01000000301,Lake Superior,"Near Pulp Mill Mission Bay Thunder Bay,",48.34985039,-89.20470774,I,1969,1995,27,0
01000000401,Lake Superior,"Near Prov.Mill,",48.44826264,-89.16637824,I,1969,1995,27,0
01000000501,Lake Superior,"Near Abitibi Thunder Bay Paper Mill Slip,",48.46950027,-89.15968749,I,1969,1995,27,0
01000000601,Lake Superior,"At Abitibi Thunder Bay Paper Mill Ditch,",48.46448877,-89.16531912,I,1972,1995,24,0
01000000701,Lake Superior,"3.5 Mi.E.Of Welcome Isl.Lighthouse,",48.39646002,-89.08584987,I,1977,1995,19,0
01000000801,Lake Superior,"5Mi.South-East Of Welcome Isl.Lighthouse,",48.32560002,-89.02358987,I,1977,1977,1,0
01000001001,Lake Superior,"2.5 Kilometers East Of Mckellar Island,",48.37299002,-89.16320987,I,1978,1995,18,0
01000001101,Lake Superior,"2 Km East Of Northern Wood Preserves,",48.42155002,-89.16459987,I,1978,1995,18,0
01000001201,Lake Superior,"East Of Mission Bay Dredge Disposal,Facility",48.34083889,-89.19507287,I,1985,1995,11,0
01000001301,Lake Superior (Nipigon Bay),"600 Meters North Of Red Rock,Wtp Intake",48.95745889,-88.24701961,I,1985,1986,2,0
01000001401,Lake Superior (Nipigon Bay),"100 Meters Se Of Domtar Mill Outfall,",48.94213664,-88.23800524,I,1985,1986,2,0
01000001501,Lake Superior,"2000 Meters Ne Of Burnt Island,",48.92638214,-88.18014974,I,1985,1986,2,0
01000001601,Lake Superior(Jackfish Bay),"900 Meters Out From Cpr Tunnel,",48.81014852,-86.96132686,I,1985,1986,2,0
01000001701,Lake Superior (Jackfish Bay),"100 Meters From Mouth Of Black-Bird,Creek",48.81250564,-87.00267436,I,1980,1986,3,4
01000001801,Lake Superior (Jackfish Creek),"600 Meters From Mouth Of Black Bird,Creek",48.80840914,-86.99998824,I,1985,1986,2,0
01000001901,Lake Superior,"100 M.West Of Hawkins Island,",48.72389077,-86.43331611,I,1986,1986,1,0
01000002001,Lake Superior,"100 M. East Of James Rv. Paper Outfall,",48.71173302,-86.39714074,I,1986,1986,1,0
01000100102,Silver Creek,"Highway 17 Hibbard Bay,",47.01804352,-84.76807211,I,1972,1973,2,0
01000900102,Montreal River,"Highway No 17,  N Of Sault Ste Marie,",47.23823652,-84.64523899,I,1972,2005,19,15
01001200102,Agawa River,"At Highway 17,",47.35789089,-84.63681149,I,1973,1988,15,1
01001400102,Sand River,"At Hwy.17, 13 Km North Of Agawa River,",47.43214127,-84.73125886,I,1985,1988,4,0
01002700102,Old Women River,"At Highway 17,",47.79061189,-84.89417299,I,1973,1975,3,0
01002900102,Michipicoten River,"Highway 17 South Of Wawa,",47.92257302,-84.80475174,I,1969,2005,25,12
01002900202,Magpie River,"Highway 17 1 Mile West Of Wawa,",47.98124439,-84.79565711,I,1969,1982,14,0
01002900302,Wawa Creek,"Highway 17 3 Miles South Of Wawa,",47.93784177,-84.81075674,I,1969,1990,14,8
01002900402,Wawa Creek,"Highway 101 Wawa,",47.99108527,-84.76460774,I,1969,1990,14,8
01002900502,Magpie River,"At Bridge Downstream From Mission Falls,",47.93929689,-84.82965799,I,1973,1990,16,2
01002900602,Magpie River,"Upstream Of Wawa Lagoons,",47.98822014,-84.79140599,I,1982,1990,9,0
01002900702,Magpie River,"U/S.Algoma Ore,",48.34928389,-84.62037899,I,1987,1990,4,0
01002900802,Magpie River,"6 Km.D/S.Dubreuilville,",48.01470452,-84.80706999,I,1987,1990,4,0
01002900902,Magpie River,"At Bridge In Dubreuilville,",48.35872339,-84.53778999,I,1988,1990,3,0
01005700102,White River,"At Highway 17,",48.69792314,-85.53685061,I,1973,1994,22,0
01005700202,Hayward Creek,"Dnstr Molson & Lim Lakes On Forest,Access Road",48.65386802,-85.89292724,I,1986,1996,11,0
01006000102,Pic River,"At Highway 17,",48.70728689,-86.28363099,I,1973,2011,39,0
01006000202,Black River,"Highway 17,  W Of Hemlo,",48.68790552,-86.21262361,I,1973,2011,39,0
01006000302,Black River,"At Highway No.614 South Of Agonzon,",48.87757277,-85.87965299,I,1976,1996,21,0
01006000402,Black River,"1 Mi.Below Outlet Of Mose L.Ont.P&P Rd.,",49.13228677,-85.74646349,I,1976,1996,21,0
01006000502,Fox Creek,"At Highway No.614 Manitouwadge Lake,",49.13302714,-85.79576449,I,1976,1996,21,0
01006000602,Black River,"Above Mose Lake On Ont.P&P Road,",49.14009127,-85.74193224,I,1977,1996,20,0
01006000702,Rudder Creek,"3 Mi.W.Of Hwy.614 On American Can Road,",49.11673927,-85.90612711,I,1977,1994,17,1
01006000802,Fox Creek,"At Inflow To Manitowadge Lake,",49.14382089,-85.79464936,I,1980,1995,16,0
01006000902,Little Black River,"Hwy 17,",48.69176302,-85.95718786,I,1983,1984,2,0
01006001002,Cedar Creek,"Hwy 17,",48.69648964,-85.88027799,I,1983,1996,14,0
01006001102,Wabikoba Creek,"Hwy 17,",48.71623752,-85.79498886,I,1983,1984,2,0
01006001202,Cedar Creek,"At Hydrometric Station,",48.70750327,-85.91043711,I,1984,1995,12,0
01006700102,Little Pic River,"Highway 17,  W. Of Neys,",48.80128339,-86.63115649,I,1973,2011,39,0
01006800102,Dead Horse Creek,"At Highway No.17,",48.81778377,-86.68670524,I,1980,1984,5,0
01007000102,Prairie River,"At Highway 17,",48.80370889,-86.77634236,I,1973,1975,3,0
01007300102,Steel River,"At Highway 17,",48.77657614,-86.88433036,I,1973,1975,3,0
01007400102,Kimberly Clark Effluent Canal,"At Highway 17,",48.83211914,-87.07251461,I,1973,1987,15,0
01007400202,Blackbird Creek,"Kimberly Clark Effluent Canal,  Dnstr,Hwy. 17",48.84848152,-87.03504036,I,1988,1996,9,0
01007500102,Aguasabon River,"At Highway 17 Terrace Bay,",48.78578489,-87.11491136,I,1973,1975,3,0
01007500202,Aguasabon Diversion,"At Aguasabon Hydro Plant,",48.78548752,-87.15848774,I,1973,1978,6,0
01007800102,Whitesand River,"U/S Of Minova Mine,",48.97815152,-87.36910049,I,1988,1995,8,0
01007800202,Whitesand River,"At Hydrometric Station,",48.97537602,-87.38056361,I,1988,1995,8,0
01007800302,Whitesand River,"Below Cpr Bridge,",48.83563314,-87.41107824,I,1988,1995,8,0
01008000102,Pays Plat River,"At Highway 17,",48.88223527,-87.55919136,I,1973,1975,3,0
