Date (EST)	Parameter 	Value (m³/s)	Approval	Qualifier
2022-11-07 23:18:00	47	0.266	Final	ESTIMATED
2022-11-07 23:33:00	47	0.266	Final	ESTIMATED
2022-11-07 23:48:00	47	0.266	Final	ESTIMATED
2022-11-08 00:03:00	47	0.266	Final	ESTIMATED
2022-11-08 00:18:00	47	0.266	Final	ESTIMATED
2022-11-08 00:33:00	47	0.266	Final	ESTIMATED
2022-11-08 00:48:00	47	0.266	Final	ESTIMATED
2022-11-08 01:03:00	47	0.266	Final	ESTIMATED
2022-11-08 01:18:00	47	0.266	Final	ESTIMATED
2022-11-08 01:33:00	47	0.266	Final	ESTIMATED
2022-11-08 01:48:00	47	0.266	Final	ESTIMATED
2022-11-08 02:03:00	47	0.266	Final	ESTIMATED
2022-11-08 02:18:00	47	0.266	Final	ESTIMATED
2022-11-08 02:33:00	47	0.266	Final	ESTIMATED
2022-11-08 02:48:00	47	0.266	Final	ESTIMATED
2022-11-08 03:03:00	47	0.266	Final	ESTIMATED
2022-11-08 03:18:00	47	0.266	Final	ESTIMATED
2022-11-08 03:33:00	47	0.266	Final	ESTIMATED
2022-11-08 03:48:00	47	0.265	Final	ESTIMATED
2022-11-08 04:03:00	47	0.265	Final	ESTIMATED
2022-11-08 04:18:00	47	0.265	Final	ESTIMATED
2022-11-08 04:33:00	47	0.265	Final	ESTIMATED
2022-11-08 04:48:00	47	0.265	Final	ESTIMATED
2022-11-08 05:03:00	47	0.265	Final	ESTIMATED
2022-11-08 05:18:00	47	0.265	Final	ESTIMATED
2022-11-08 05:33:00	47	0.265	Final	ESTIMATED
2022-11-08 05:48:00	47	0.265	Final	ESTIMATED
2022-11-08 06:03:00	47	0.265	Final	ESTIMATED
2022-11-08 06:18:00	47	0.265	Final	ESTIMATED
2022-11-08 06:33:00	47	0.265	Final	ESTIMATED
2022-11-08 06:48:00	47	0.265	Final	ESTIMATED
2022-11-08 07:03:00	47	0.265	Final	ESTIMATED
2022-11-08 07:18:00	47	0.265	Final	ESTIMATED
2022-11-08 07:33:00	47	0.265	Final	ESTIMATED
2022-11-08 07:48:00	47	0.265	Final	ESTIMATED
2022-11-08 08:03:00	47	0.265	Final	ESTIMATED
2022-11-08 08:18:00	47	0.265	Final	ESTIMATED
2022-11-08 08:33:00	47	0.265	Final	ESTIMATED
2022-11-08 08:48:00	47	0.265	Final	ESTIMATED
2022-11-08 09:03:00	47	0.265	Final	ESTIMATED
2022-11-08 09:18:00	47	0.265	Final	ESTIMATED
2022-11-08 09:33:00	47	0.265	Final	ESTIMATED
2022-11-08 09:48:00	47	0.265	Final	ESTIMATED
2022-11-08 10:03:00	47	0.265	Final	ESTIMATED
2022-11-08 10:18:00	47	0.265	Final	ESTIMATED
2022-11-08 10:33:00	47	0.265	Final	ESTIMATED
2022-11-08 10:48:00	47	0.265	Final	ESTIMATED
2022-11-08 11:03:00	47	0.265	Final	ESTIMATED
2022-11-08 11:18:00	47	0.265	Final	ESTIMATED
2022-11-08 11:33:00	47	0.265	Final	ESTIMATED
2022-11-08 11:48:00	47	0.265	Final	ESTIMATED
2022-11-08 12:03:00	47	0.265	Final	ESTIMATED
2022-11-08 12:18:00	47	0.265	Final	ESTIMATED
2022-11-08 12:33:00	47	0.265	Final	ESTIMATED
2022-11-08 12:48:00	47	0.265	Final	ESTIMATED
2022-11-08 13:03:00	47	0.265	Final	ESTIMATED
2022-11-08 13:18:00	47	0.265	Final	ESTIMATED
2022-11-08 13:33:00	47	0.265	Final	ESTIMATED
2022-11-08 13:48:00	47	0.265	Final	ESTIMATED
2022-11-08 14:03:00	47	0.265	Final	ESTIMATED
2022-11-08 14:18:00	47	0.265	Final	ESTIMATED
2022-11-08 14:33:00	47	0.265	Final	ESTIMATED
2022-11-08 14:48:00	47	0.265	Final	ESTIMATED
2022-11-08 15:03:00	47	0.265	Final	ESTIMATED
2022-11-08 15:18:00	47	0.265	Final	ESTIMATED
2022-11-08 15:33:00	47	0.265	Final	ESTIMATED
2022-11-08 15:48:00	47	0.265	Final	ESTIMATED
2022-11-08 16:03:00	47	0.265	Final	ESTIMATED
2022-11-08 16:18:00	47	0.265	Final	ESTIMATED
2022-11-08 16:33:00	47	0.265	Final	ESTIMATED
2022-11-08 16:48:00	47	0.265	Final	ESTIMATED
2022-11-08 17:03:00	47	0.265	Final	ESTIMATED
2022-11-08 17:18:00	47	0.265	Final	ESTIMATED
2022-11-08 17:33:00	47	0.265	Final	ESTIMATED
2022-11-08 17:48:00	47	0.265	Final	ESTIMATED
2022-11-08 18:03:00	47	0.265	Final	ESTIMATED
2022-11-08 18:18:00	47	0.265	Final	ESTIMATED
2022-11-08 18:33:00	47	0.265	Final	ESTIMATED
2022-11-08 18:48:00	47	0.265	Final	ESTIMATED
2022-11-08 19:03:00	47	0.265	Final	ESTIMATED
2022-11-08 19:18:00	47	0.265	Final	ESTIMATED
2022-11-08 19:33:00	47	0.265	Final	ESTIMATED
2022-11-08 19:48:00	47	0.265	Final	ESTIMATED
2022-11-08 20:03:00	47	0.265	Final	ESTIMATED
2022-11-08 20:18:00	47	0.265	Final	ESTIMATED
2022-11-08 20:33:00	47	0.265	Final	ESTIMATED
2022-11-08 20:48:00	47	0.265	Final	ESTIMATED
2022-11-08 21:03:00	47	0.265	Final	ESTIMATED
2022-11-08 21:18:00	47	0.265	Final	ESTIMATED
2022-11-08 21:33:00	47	0.265	Final	ESTIMATED
2022-11-08 21:48:00	47	0.265	Final	ESTIMATED
2022-11-08 22:03:00	47	0.265	Final	ESTIMATED
2022-11-08 22:18:00	47	0.265	Final	ESTIMATED
2022-11-08 22:33:00	47	0.265	Final	ESTIMATED
2022-11-08 22:48:00	47	0.265	Final	ESTIMATED
2022-11-08 23:03:00	47	0.265	Final	ESTIMATED
2022-11-08 23:18:00	47	0.265	Final	ESTIMATED
2022-11-08 23:33:00	47	0.265	Final	ESTIMATED
2022-11-08 23:48:00	47	0.265	Final	ESTIMATED
2022-11-09 00:03:00	47	0.265	Final	ESTIMATED
2022-11-09 00:18:00	47	0.265	Final	ESTIMATED
2022-11-09 00:33:00	47	0.265	Final	ESTIMATED
2022-11-09 00:48:00	47	0.265	Final	ESTIMATED
2022-11-09 01:03:00	47	0.265	Final	ESTIMATED
2022-11-09 01:18:00	47	0.265	Final	ESTIMATED
2022-11-09 01:33:00	47	0.265	Final	ESTIMATED
2022-11-09 01:48:00	47	0.265	Final	ESTIMATED
2022-11-09 02:03:00	47	0.265	Final	ESTIMATED
2022-11-09 02:18:00	47	0.265	Final	ESTIMATED
2022-11-09 02:33:00	47	0.265	Final	ESTIMATED
2022-11-09 02:48:00	47	0.265	Final	ESTIMATED
2022-11-09 03:03:00	47	0.265	Final	ESTIMATED
2022-11-09 03:18:00	47	0.265	Final	ESTIMATED
2022-11-09 03:33:00	47	0.265	Final	ESTIMATED
2022-11-09 03:48:00	47	0.265	Final	ESTIMATED
2022-11-09 04:03:00	47	0.265	Final	ESTIMATED
2022-11-09 04:18:00	47	0.265	Final	ESTIMATED
2022-11-09 04:33:00	47	0.265	Final	ESTIMATED
2022-11-09 04:48:00	47	0.265	Final	ESTIMATED
2022-11-09 05:03:00	47	0.265	Final	ESTIMATED
2022-11-09 05:18:00	47	0.265	Final	ESTIMATED
2022-11-09 05:33:00	47	0.265	Final	ESTIMATED
2022-11-09 05:48:00	47	0.265	Final	ESTIMATED
2022-11-09 06:03:00	47	0.265	Final	ESTIMATED
2022-11-09 06:18:00	47	0.265	Final	ESTIMATED
2022-11-09 06:33:00	47	0.265	Final	ESTIMATED
2022-11-09 06:48:00	47	0.265	Final	ESTIMATED
2022-11-09 07:03:00	47	0.265	Final	ESTIMATED
2022-11-09 07:18:00	47	0.265	Final	ESTIMATED
2022-11-09 07:33:00	47	0.265	Final	ESTIMATED
2022-11-09 07:48:00	47	0.265	Final	ESTIMATED
2022-11-09 08:03:00	47	0.265	Final	ESTIMATED
2022-11-09 08:18:00	47	0.265	Final	ESTIMATED
2022-11-09 08:33:00	47	0.265	Final	ESTIMATED
2022-11-09 08:48:00	47	0.265	Final	ESTIMATED
2022-11-09 09:03:00	47	0.265	Final	ESTIMATED
2022-11-09 09:18:00	47	0.265	Final	ESTIMATED
2022-11-09 09:33:00	47	0.265	Final	ESTIMATED
2022-11-09 09:48:00	47	0.265	Final	ESTIMATED
2022-11-09 10:03:00	47	0.265	Final	ESTIMATED
2022-11-09 10:18:00	47	0.265	Final	ESTIMATED
2022-11-09 10:33:00	47	0.265	Final	ESTIMATED
2022-11-09 10:48:00	47	0.265	Final	ESTIMATED
2022-11-09 11:03:00	47	0.265	Final	ESTIMATED
2022-11-09 11:18:00	47	0.265	Final	ESTIMATED
2022-11-09 11:33:00	47	0.265	Final	ESTIMATED
2022-11-09 11:48:00	47	0.265	Final	ESTIMATED
2022-11-09 12:03:00	47	0.265	Final	ESTIMATED
2022-11-09 12:18:00	47	0.265	Final	ESTIMATED
2022-11-09 12:33:00	47	0.265	Final	ESTIMATED
2022-11-09 12:48:00	47	0.265	Final	ESTIMATED
2022-11-09 13:03:00	47	0.265	Final	ESTIMATED
2022-11-09 13:18:00	47	0.265	Final	ESTIMATED
2022-11-09 13:33:00	47	0.265	Final	ESTIMATED
2022-11-09 13:48:00	47	0.265	Final	ESTIMATED
2022-11-09 14:03:00	47	0.265	Final	ESTIMATED
2022-11-09 14:18:00	47	0.265	Final	ESTIMATED
2022-11-09 14:33:00	47	0.265	Final	ESTIMATED
2022-11-09 14:48:00	47	0.265	Final	ESTIMATED
2022-11-09 15:03:00	47	0.265	Final	ESTIMATED
2022-11-09 15:18:00	47	0.265	Final	ESTIMATED
2022-11-09 15:33:00	47	0.265	Final	ESTIMATED
2022-11-09 15:48:00	47	0.265	Final	ESTIMATED
2022-11-09 16:03:00	47	0.265	Final	ESTIMATED
2022-11-09 16:18:00	47	0.265	Final	ESTIMATED
2022-11-09 16:33:00	47	0.265	Final	ESTIMATED
2022-11-09 16:48:00	47	0.265	Final	ESTIMATED
2022-11-09 17:03:00	47	0.265	Final	ESTIMATED
2022-11-09 17:18:00	47	0.265	Final	ESTIMATED
2022-11-09 17:33:00	47	0.265	Final	ESTIMATED
2022-11-09 17:48:00	47	0.265	Final	ESTIMATED
2022-11-09 18:03:00	47	0.265	Final	ESTIMATED
2022-11-09 18:18:00	47	0.265	Final	ESTIMATED
2022-11-09 18:33:00	47	0.265	Final	ESTIMATED
2022-11-09 18:48:00	47	0.265	Final	ESTIMATED
2022-11-09 19:03:00	47	0.265	Final	ESTIMATED
2022-11-09 19:18:00	47	0.265	Final	ESTIMATED
2022-11-09 19:33:00	47	0.265	Final	ESTIMATED
2022-11-09 19:48:00	47	0.265	Final	ESTIMATED
2022-11-09 20:03:00	47	0.265	Final	ESTIMATED
2022-11-09 20:18:00	47	0.265	Final	ESTIMATED
2022-11-09 20:33:00	47	0.265	Final	ESTIMATED
2022-11-09 20:48:00	47	0.265	Final	ESTIMATED
2022-11-09 21:03:00	47	0.265	Final	ESTIMATED
2022-11-09 21:18:00	47	0.265	Final	ESTIMATED
2022-11-09 21:33:00	47	0.265	Final	ESTIMATED
2022-11-09 21:48:00	47	0.265	Final	ESTIMATED
2022-11-09 22:03:00	47	0.265	Final	ESTIMATED
2022-11-09 22:18:00	47	0.265	Final	ESTIMATED
2022-11-09 22:33:00	47	0.265	Final	ESTIMATED
2022-11-09 22:48:00	47	0.265	Final	ESTIMATED
2022-11-09 23:03:00	47	0.265	Final	ESTIMATED
2022-11-09 23:18:00	47	0.265	Final	ESTIMATED
2022-11-09 23:33:00	47	0.265	Final	ESTIMATED
2022-11-09 23:48:00	47	0.265	Final	ESTIMATED
2022-11-10 00:03:00	47	0.265	Final	ESTIMATED
2022-11-10 00:18:00	47	0.265	Final	ESTIMATED
2022-11-10 00:33:00	47	0.265	Final	ESTIMATED
2022-11-10 00:48:00	47	0.265	Final	ESTIMATED
2022-11-10 01:03:00	47	0.265	Final	ESTIMATED
2022-11-10 01:18:00	47	0.265	Final	ESTIMATED
2022-11-10 01:33:00	47	0.265	Final	ESTIMATED
2022-11-10 01:48:00	47	0.265	Final	ESTIMATED
2022-11-10 02:03:00	47	0.265	Final	ESTIMATED
2022-11-10 02:18:00	47	0.265	Final	ESTIMATED
2022-11-10 02:33:00	47	0.265	Final	ESTIMATED
2022-11-10 02:48:00	47	0.265	Final	ESTIMATED
2022-11-10 03:03:00	47	0.266	Final	ESTIMATED
2022-11-10 03:18:00	47	0.266	Final	ESTIMATED
2022-11-10 03:33:00	47	0.266	Final	ESTIMATED
2022-11-10 03:48:00	47	0.266	Final	ESTIMATED
2022-11-10 04:03:00	47	0.266	Final	ESTIMATED
2022-11-10 04:18:00	47	0.266	Final	ESTIMATED
2022-11-10 04:33:00	47	0.266	Final	ESTIMATED
2022-11-10 04:48:00	47	0.266	Final	ESTIMATED
2022-11-10 05:03:00	47	0.266	Final	ESTIMATED
2022-11-10 05:18:00	47	0.266	Final	ESTIMATED
2022-11-10 05:33:00	47	0.266	Final	ESTIMATED
2022-11-10 05:48:00	47	0.266	Final	ESTIMATED
2022-11-10 06:03:00	47	0.266	Final	ESTIMATED
2022-11-10 06:18:00	47	0.267	Final	ESTIMATED
2022-11-10 06:33:00	47	0.267	Final	ESTIMATED
2022-11-10 06:48:00	47	0.267	Final	ESTIMATED
2022-11-10 07:03:00	47	0.267	Final	ESTIMATED
2022-11-10 07:18:00	47	0.267	Final	ESTIMATED
2022-11-10 07:33:00	47	0.267	Final	ESTIMATED
2022-11-10 07:48:00	47	0.267	Final	ESTIMATED
2022-11-10 08:03:00	47	0.267	Final	ESTIMATED
2022-11-10 08:18:00	47	0.267	Final	ESTIMATED
2022-11-10 08:33:00	47	0.267	Final	ESTIMATED
2022-11-10 08:48:00	47	0.267	Final	ESTIMATED
2022-11-10 09:03:00	47	0.267	Final	ESTIMATED
2022-11-10 09:18:00	47	0.268	Final	ESTIMATED
2022-11-10 09:33:00	47	0.268	Final	ESTIMATED
2022-11-10 09:48:00	47	0.268	Final	ESTIMATED
2022-11-10 10:03:00	47	0.269	Final	ESTIMATED
2022-11-10 10:18:00	47	0.270	Final	ESTIMATED
2022-11-10 10:33:00	47	0.271	Final	ESTIMATED
2022-11-10 10:48:00	47	0.272	Final	ESTIMATED
2022-11-10 11:03:00	47	0.274	Final	ESTIMATED
2022-11-10 11:18:00	47	0.275	Final	ESTIMATED
2022-11-10 11:33:00	47	0.276	Final	ESTIMATED
2022-11-10 11:48:00	47	0.277	Final	ESTIMATED
2022-11-10 12:03:00	47	0.278	Final	ESTIMATED
2022-11-10 12:18:00	47	0.279	Final	ESTIMATED
2022-11-10 12:33:00	47	0.281	Final	ESTIMATED
2022-11-10 12:48:00	47	0.282	Final	ESTIMATED
2022-11-10 13:03:00	47	0.283	Final	ESTIMATED
2022-11-10 13:18:00	47	0.284	Final	ESTIMATED
2022-11-10 13:33:00	47	0.286	Final	ESTIMATED
2022-11-10 13:48:00	47	0.288	Final	ESTIMATED
2022-11-10 14:03:00	47	0.291	Final	ESTIMATED
2022-11-10 14:18:00	47	0.293	Final	ESTIMATED
2022-11-10 14:33:00	47	0.296	Final	ESTIMATED
2022-11-10 14:48:00	47	0.299	Final	ESTIMATED
2022-11-10 15:03:00	47	0.301	Final	ESTIMATED
2022-11-10 15:18:00	47	0.304	Final	ESTIMATED
2022-11-10 15:33:00	47	0.307	Final	ESTIMATED
2022-11-10 15:48:00	47	0.309	Final	ESTIMATED
2022-11-10 16:03:00	47	0.312	Final	ESTIMATED
2022-11-10 16:18:00	47	0.314	Final	ESTIMATED
2022-11-10 16:33:00	47	0.317	Final	ESTIMATED
2022-11-10 16:48:00	47	0.320	Final	ESTIMATED
2022-11-10 17:03:00	47	0.322	Final	ESTIMATED
2022-11-10 17:18:00	47	0.325	Final	ESTIMATED
2022-11-10 17:33:00	47	0.329	Final	ESTIMATED
2022-11-10 17:48:00	47	0.332	Final	ESTIMATED
2022-11-10 18:03:00	47	0.335	Final	ESTIMATED
2022-11-10 18:18:00	47	0.339	Final	ESTIMATED
2022-11-10 18:33:00	47	0.342	Final	ESTIMATED
2022-11-10 18:48:00	47	0.346	Final	ESTIMATED
2022-11-10 19:03:00	47	0.349	Final	ESTIMATED
2022-11-10 19:18:00	47	0.352	Final	ESTIMATED
2022-11-10 19:33:00	47	0.356	Final	ESTIMATED
2022-11-10 19:48:00	47	0.359	Final	ESTIMATED
2022-11-10 20:03:00	47	0.363	Final	ESTIMATED
2022-11-10 20:18:00	47	0.366	Final	ESTIMATED
2022-11-10 20:33:00	47	0.370	Final	ESTIMATED
2022-11-10 20:48:00	47	0.373	Final	ESTIMATED
2022-11-10 21:03:00	47	0.376	Final	ESTIMATED
2022-11-10 21:18:00	47	0.380	Final	ESTIMATED
2022-11-10 21:33:00	47	0.383	Final	ESTIMATED
2022-11-10 21:48:00	47	0.387	Final	ESTIMATED
2022-11-10 22:03:00	47	0.390	Final	ESTIMATED
2022-11-10 22:18:00	47	0.394	Final	ESTIMATED
2022-11-10 22:33:00	47	0.397	Final	ESTIMATED
2022-11-10 22:48:00	47	0.401	Final	ESTIMATED
2022-11-10 23:03:00	47	0.406	Final	ESTIMATED
2022-11-10 23:18:00	47	0.410	Final	ESTIMATED
2022-11-10 23:33:00	47	0.415	Final	ESTIMATED
2022-11-10 23:48:00	47	0.420	Final	ESTIMATED
2022-11-11 00:03:00	47	0.424	Final	ESTIMATED
2022-11-11 00:18:00	47	0.429	Final	ESTIMATED
2022-11-11 00:33:00	47	0.433	Final	ESTIMATED
2022-11-11 00:48:00	47	0.438	Final	ESTIMATED
2022-11-11 01:03:00	47	0.442	Final	ESTIMATED
2022-11-11 01:18:00	47	0.447	Final	ESTIMATED
2022-11-11 01:33:00	47	0.451	Final	ESTIMATED
2022-11-11 01:48:00	47	0.451	Final	ESTIMATED
2022-11-11 02:03:00	47	0.451	Final	ESTIMATED
2022-11-11 02:18:00	47	0.451	Final	ESTIMATED
2022-11-11 02:33:00	47	0.451	Final	ESTIMATED
2022-11-11 02:48:00	47	0.451	Final	ESTIMATED
2022-11-11 03:03:00	47	0.451	Final	ESTIMATED
2022-11-11 03:18:00	47	0.451	Final	ESTIMATED
2022-11-11 03:33:00	47	0.451	Final	ESTIMATED
2022-11-11 03:48:00	47	0.451	Final	ESTIMATED
2022-11-11 04:03:00	47	0.452	Final	ESTIMATED
2022-11-11 04:18:00	47	0.452	Final	ESTIMATED
2022-11-11 04:33:00	47	0.452	Final	ESTIMATED
2022-11-11 04:48:00	47	0.452	Final	ESTIMATED
2022-11-11 05:03:00	47	0.452	Final	ESTIMATED
2022-11-11 05:18:00	47	0.452	Final	ESTIMATED
2022-11-11 05:33:00	47	0.452	Final	ESTIMATED
2022-11-11 05:48:00	47	0.452	Final	ESTIMATED
2022-11-11 06:03:00	47	0.452	Final	ESTIMATED
2022-11-11 06:18:00	47	0.452	Final	ESTIMATED
2022-11-11 06:33:00	47	0.450	Final	ESTIMATED
2022-11-11 06:48:00	47	0.449	Final	ESTIMATED
2022-11-11 07:03:00	47	0.448	Final	ESTIMATED
2022-11-11 07:18:00	47	0.447	Final	ESTIMATED
2022-11-11 07:33:00	47	0.445	Final	ESTIMATED
2022-11-11 07:48:00	47	0.444	Final	ESTIMATED
2022-11-11 08:03:00	47	0.443	Final	ESTIMATED
2022-11-11 08:18:00	47	0.441	Final	ESTIMATED
2022-11-11 08:33:00	47	0.440	Final	ESTIMATED
2022-11-11 08:48:00	47	0.439	Final	ESTIMATED
2022-11-11 09:03:00	47	0.437	Final	ESTIMATED
2022-11-11 09:18:00	47	0.436	Final	ESTIMATED
2022-11-11 09:33:00	47	0.435	Final	ESTIMATED
2022-11-11 09:48:00	47	0.434	Final	ESTIMATED
2022-11-11 10:03:00	47	0.432	Final	ESTIMATED
2022-11-11 10:18:00	47	0.431	Final	ESTIMATED
2022-11-11 10:33:00	47	0.430	Final	ESTIMATED
2022-11-11 10:48:00	47	0.428	Final	ESTIMATED
2022-11-11 11:03:00	47	0.427	Final	ESTIMATED
2022-11-11 11:18:00	47	0.424	Final	ESTIMATED
2022-11-11 11:33:00	47	0.421	Final	ESTIMATED
2022-11-11 11:48:00	47	0.418	Final	ESTIMATED
2022-11-11 12:03:00	47	0.415	Final	ESTIMATED
2022-11-11 12:18:00	47	0.412	Final	ESTIMATED
2022-11-11 12:33:00	47	0.409	Final	ESTIMATED
2022-11-11 12:48:00	47	0.407	Final	ESTIMATED
2022-11-11 13:03:00	47	0.404	Final	ESTIMATED
2022-11-11 13:18:00	47	0.401	Final	ESTIMATED
2022-11-11 13:33:00	47	0.398	Final	ESTIMATED
2022-11-11 13:48:00	47	0.395	Final	ESTIMATED
2022-11-11 14:03:00	47	0.392	Final	ESTIMATED
2022-11-11 14:18:00	47	0.389	Final	ESTIMATED
2022-11-11 14:33:00	47	0.387	Final	ESTIMATED
2022-11-11 14:48:00	47	0.384	Final	ESTIMATED
2022-11-11 15:03:00	47	0.381	Final	ESTIMATED
2022-11-11 15:18:00	47	0.378	Final	ESTIMATED
2022-11-11 15:33:00	47	0.375	Final	ESTIMATED
2022-11-11 15:48:00	47	0.372	Final	ESTIMATED
2022-11-11 16:03:00	47	0.369	Final	ESTIMATED
2022-11-11 16:18:00	47	0.366	Final	ESTIMATED
2022-11-11 16:33:00	47	0.364	Final	ESTIMATED
2022-11-11 16:48:00	47	0.361	Final	ESTIMATED
2022-11-11 17:03:00	47	0.358	Final	ESTIMATED
2022-11-11 17:18:00	47	0.356	Final	ESTIMATED
2022-11-11 17:33:00	47	0.355	Final	ESTIMATED
2022-11-11 17:48:00	47	0.354	Final	ESTIMATED
2022-11-11 18:03:00	47	0.352	Final	ESTIMATED
2022-11-11 18:18:00	47	0.351	Final	ESTIMATED
2022-11-11 18:33:00	47	0.350	Final	ESTIMATED
2022-11-11 18:48:00	47	0.348	Final	ESTIMATED
2022-11-11 19:03:00	47	0.347	Final	ESTIMATED
2022-11-11 19:18:00	47	0.346	Final	ESTIMATED
2022-11-11 19:33:00	47	0.345	Final	ESTIMATED
2022-11-11 19:48:00	47	0.343	Final	ESTIMATED
2022-11-11 20:03:00	47	0.342	Final	ESTIMATED
2022-11-11 20:18:00	47	0.341	Final	ESTIMATED
2022-11-11 20:33:00	47	0.339	Final	ESTIMATED
2022-11-11 20:48:00	47	0.338	Final	ESTIMATED
2022-11-11 21:03:00	47	0.337	Final	ESTIMATED
2022-11-11 21:18:00	47	0.336	Final	ESTIMATED
2022-11-11 21:33:00	47	0.334	Final	ESTIMATED
2022-11-11 21:48:00	47	0.333	Final	ESTIMATED
2022-11-11 22:03:00	47	0.332	Final	ESTIMATED
2022-11-11 22:18:00	47	0.330	Final	ESTIMATED
2022-11-11 22:33:00	47	0.329	Final	ESTIMATED
2022-11-11 22:48:00	47	0.328	Final	ESTIMATED
2022-11-11 23:03:00	47	0.327	Final	ESTIMATED
2022-11-11 23:18:00	47	0.325	Final	ESTIMATED
2022-11-11 23:33:00	47	0.324	Final	ESTIMATED
2022-11-11 23:48:00	47	0.323	Final	ESTIMATED
2022-11-12 00:03:00	47	0.322	Final	ESTIMATED
2022-11-12 00:18:00	47	0.320	Final	ESTIMATED
2022-11-12 00:33:00	47	0.319	Final	ESTIMATED
2022-11-12 00:48:00	47	0.318	Final	ESTIMATED
2022-11-12 01:03:00	47	0.316	Final	ESTIMATED
2022-11-12 01:18:00	47	0.315	Final	ESTIMATED
2022-11-12 01:33:00	47	0.314	Final	ESTIMATED
2022-11-12 01:48:00	47	0.313	Final	ESTIMATED
2022-11-12 02:03:00	47	0.311	Final	ESTIMATED
2022-11-12 02:18:00	47	0.310	Final	ESTIMATED
2022-11-12 02:33:00	47	0.309	Final	ESTIMATED
2022-11-12 02:48:00	47	0.307	Final	ESTIMATED
2022-11-12 03:03:00	47	0.306	Final	ESTIMATED
2022-11-12 03:18:00	47	0.305	Final	ESTIMATED
2022-11-12 03:33:00	47	0.304	Final	ESTIMATED
2022-11-12 03:48:00	47	0.304	Final	ESTIMATED
