STATION,DATE_YYYYMMDD,TIME_HH:MM,PARM_DESCRIPTION,UNITS,RESULT,PARM
6007601702,2010-01-06,9:14,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.026,NNHTUR
6007601702,2010-01-06,9:14,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,98.3,CLIDUR
6007601702,2010-01-06,9:14,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,21.4,MGUT
6007601702,2010-01-06,9:14,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,92.7,CAUT
6007601002,2010-02-24,11:40,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.155,NNHTUR
6007601002,2010-02-24,11:40,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,71.8,CLIDUR
6007601002,2010-02-24,11:40,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,1.66,NNOTUR
6007601002,2010-02-24,11:40,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,81.8,CAUT
6007601002,2010-02-24,11:40,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,20.7,MGUT
6007601802,2010-02-24,12:20,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,2.04,NNOTUR
6007601802,2010-02-24,12:20,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,117.0,CLIDUR
6007601802,2010-02-24,12:20,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,21.6,MGUT
6007601802,2010-02-24,12:20,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,82.8,CAUT
6007601802,2010-02-24,12:20,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.235,NNHTUR
6007602302,2010-02-24,12:55,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,1.79,NNOTUR
6007602302,2010-02-24,12:55,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.47,NNHTUR
6007602302,2010-02-24,12:55,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,392.0,CLIDUR
6007602302,2010-02-24,12:55,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,96.6,CAUT
6007602302,2010-02-24,12:55,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,23.7,MGUT
6007600602,2010-02-24,13:05,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,1.54,NNOTUR
6007600602,2010-02-24,13:05,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.141,NNHTUR
6007600602,2010-02-24,13:05,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,371.0,CLIDUR
6007600602,2010-02-24,13:05,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,98.8,CAUT
6007600602,2010-02-24,13:05,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,24.0,MGUT
6007605002,2010-02-24,7:57,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,2.94,NNOTUR
6007605002,2010-02-24,7:57,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.033,NNHTUR
6007605002,2010-02-24,7:57,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,599.0,CLIDUR
6007605002,2010-02-24,7:57,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,21.6,MGUT
6007605002,2010-02-24,7:57,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,94.3,CAUT
6007601702,2010-02-24,8:50,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,178.0,CLIDUR
6007601702,2010-02-24,8:50,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.052,NNHTUR
6007601702,2010-02-24,8:50,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,2.84,NNOTUR
6007601702,2010-02-24,8:50,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,21.1,MGUT
6007601702,2010-02-24,8:50,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,83.3,CAUT
6007600302,2010-02-24,9:43,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,22.3,MGUT
6007600302,2010-02-24,9:43,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,82.8,CAUT
6007600302,2010-02-24,9:43,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,3.05,NNOTUR
6007600302,2010-02-24,9:43,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.102,NNHTUR
6007600302,2010-02-24,9:43,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,111.0,CLIDUR
6007601002,2010-03-31,11:59,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,31.2,NAUT
6007601002,2010-03-31,11:59,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,1.66,KKUT
6007601002,2010-03-31,11:59,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,17.2,MGUT
6007601002,2010-03-31,11:59,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,71.4,CAUT
6007601002,2010-03-31,11:59,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,1.05,NNOTUR
6007601002,2010-03-31,11:59,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.019,NNHTUR
6007601002,2010-03-31,11:59,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,62.3,CLIDUR
6007601802,2010-03-31,13:02,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,2.39,KKUT
6007601802,2010-03-31,13:02,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,57.6,NAUT
6007601802,2010-03-31,13:02,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,16.6,MGUT
6007601802,2010-03-31,13:02,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,69.7,CAUT
6007601802,2010-03-31,13:02,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,1.21,NNOTUR
6007601802,2010-03-31,13:02,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.032,NNHTUR
6007601802,2010-03-31,13:02,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,96.8,CLIDUR
6007602302,2010-03-31,13:42,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,130.0,NAUT
6007602302,2010-03-31,13:42,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,4.25,KKUT
6007602302,2010-03-31,13:42,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,83.5,CAUT
6007602302,2010-03-31,13:42,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,17.9,MGUT
6007602302,2010-03-31,13:42,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,1.19,NNOTUR
6007602302,2010-03-31,13:42,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.098,NNHTUR
6007602302,2010-03-31,13:42,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,195.0,CLIDUR
6007600602,2010-03-31,14:08,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,90.0,CAUT
6007600602,2010-03-31,14:08,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,1.39,NNOTUR
6007600602,2010-03-31,14:08,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.066,NNHTUR
6007600602,2010-03-31,14:08,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,350.0,CLIDUR
6007600602,2010-03-31,14:08,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,188.0,NAUT
6007600602,2010-03-31,14:08,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,5.99,KKUT
6007600602,2010-03-31,14:08,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,19.3,MGUT
6007605002,2010-03-31,8:06,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,122.0,CLIDUR
6007605002,2010-03-31,8:06,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.011,NNHTUR
6007605002,2010-03-31,8:06,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,1.59,NNOTUR
6007605002,2010-03-31,8:06,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,72.2,NAUT
6007605002,2010-03-31,8:06,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,2.64,KKUT
6007605002,2010-03-31,8:06,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,75.4,CAUT
6007605002,2010-03-31,8:06,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,18.6,MGUT
6007601702,2010-03-31,8:53,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,73.6,CLIDUR
6007601702,2010-03-31,8:53,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.014,NNHTUR
6007601702,2010-03-31,8:53,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,1.32,NNOTUR
6007601702,2010-03-31,8:53,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,76.0,CAUT
6007601702,2010-03-31,8:53,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,36.6,NAUT
6007601702,2010-03-31,8:53,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,2.16,KKUT
6007601702,2010-03-31,8:53,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,18.3,MGUT
6007600302,2010-03-31,9:41,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,1.75,NNOTUR
6007600302,2010-03-31,9:41,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.02,NNHTUR
6007600302,2010-03-31,9:41,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,72.2,CLIDUR
6007600302,2010-03-31,9:41,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,37.5,NAUT
6007600302,2010-03-31,9:41,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,2.08,KKUT
6007600302,2010-03-31,9:41,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,18.5,MGUT
6007600302,2010-03-31,9:41,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,73.0,CAUT
6007601002,2010-04-28,11:18,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,79.6,CAUT
6007601002,2010-04-28,11:18,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,19.6,MGUT
6007601002,2010-04-28,11:18,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,1.52,KKUT
6007601002,2010-04-28,11:18,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,37.3,NAUT
6007601002,2010-04-28,11:18,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,0.773,NNOTUR
6007601002,2010-04-28,11:18,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.009,NNHTUR
6007601002,2010-04-28,11:18,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,64.8,CLIDUR
6007601802,2010-04-28,11:58,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,107.0,CLIDUR
6007601802,2010-04-28,11:58,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.02,NNHTUR
6007601802,2010-04-28,11:58,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,0.847,NNOTUR
6007601802,2010-04-28,11:58,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,19.0,MGUT
6007601802,2010-04-28,11:58,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,79.2,CAUT
6007601802,2010-04-28,11:58,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,64.4,NAUT
6007601802,2010-04-28,11:58,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,2.14,KKUT
6007602302,2010-04-28,12:30,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,84.7,CAUT
6007602302,2010-04-28,12:30,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,3.95,KKUT
6007602302,2010-04-28,12:30,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,132.0,NAUT
6007602302,2010-04-28,12:30,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,20.0,MGUT
6007602302,2010-04-28,12:30,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,294.0,CLIDUR
6007602302,2010-04-28,12:30,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.026,NNHTUR
6007602302,2010-04-28,12:30,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,0.774,NNOTUR
6007600602,2010-04-28,12:49,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,0.744,NNOTUR
6007600602,2010-04-28,12:49,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.027,NNHTUR
6007600602,2010-04-28,12:49,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,339.0,CLIDUR
6007600602,2010-04-28,12:49,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,160.0,NAUT
6007600602,2010-04-28,12:49,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,5.05,KKUT
6007600602,2010-04-28,12:49,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,20.0,MGUT
6007600602,2010-04-28,12:49,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,84.1,CAUT
6007605002,2010-04-28,7:50,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,1.79,NNOTUR
6007605002,2010-04-28,7:50,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.011,NNHTUR
6007605002,2010-04-28,7:50,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,107.0,CLIDUR
6007605002,2010-04-28,7:50,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,77.4,CAUT
6007605002,2010-04-28,7:50,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,21.5,MGUT
6007605002,2010-04-28,7:50,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,69.6,NAUT
6007605002,2010-04-28,7:50,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,2.7,KKUT
6007601702,2010-04-28,8:39,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,81.2,CLIDUR
6007601702,2010-04-28,8:39,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.008,NNHTUR
6007601702,2010-04-28,8:39,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,1.5,NNOTUR
6007601702,2010-04-28,8:39,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,85.2,CAUT
6007601702,2010-04-28,8:39,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,52.8,NAUT
6007601702,2010-04-28,8:39,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,2.15,KKUT
6007601702,2010-04-28,8:39,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,20.3,MGUT
6007600302,2010-04-28,9:30,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,51.2,NAUT
6007600302,2010-04-28,9:30,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,2.05,KKUT
6007600302,2010-04-28,9:30,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,20.7,MGUT
6007600302,2010-04-28,9:30,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,79.5,CLIDUR
6007600302,2010-04-28,9:30,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.007,NNHTUR
6007600302,2010-04-28,9:30,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,1.81,NNOTUR
6007600302,2010-04-28,9:30,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,79.0,CAUT
6007601002,2010-05-26,11:35,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,38.2,NAUT
6007601002,2010-05-26,11:35,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,1.95,KKUT
6007601002,2010-05-26,11:35,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,19.1,MGUT
6007601002,2010-05-26,11:35,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,76.0,CAUT
6007601002,2010-05-26,11:35,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.031,NNHTUR
6007601002,2010-05-26,11:35,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,66.6,CLIDUR
6007601802,2010-05-26,12:17,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,20.4,MGUT
6007601802,2010-05-26,12:17,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,107.0,CLIDUR
6007601802,2010-05-26,12:17,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,71.8,CAUT
6007601802,2010-05-26,12:17,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.077,NNHTUR
6007601802,2010-05-26,12:17,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,64.5,NAUT
6007601802,2010-05-26,12:17,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,2.68,KKUT
6007602302,2010-05-26,12:50,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,21.4,MGUT
6007602302,2010-05-26,12:50,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,4.99,KKUT
6007602302,2010-05-26,12:50,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,141.0,NAUT
6007602302,2010-05-26,12:50,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,237.0,CLIDUR
6007602302,2010-05-26,12:50,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.195,NNHTUR
6007602302,2010-05-26,12:50,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,77.3,CAUT
6007600602,2010-05-26,13:15,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.071,NNHTUR
6007600602,2010-05-26,13:15,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,285.0,CLIDUR
6007600602,2010-05-26,13:15,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,5.89,KKUT
6007600602,2010-05-26,13:15,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,21.0,MGUT
6007600602,2010-05-26,13:15,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,75.8,CAUT
6007600602,2010-05-26,13:15,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,166.0,NAUT
6007605002,2010-05-26,7:49,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,67.4,NAUT
6007605002,2010-05-26,7:49,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,71.3,CAUT
6007605002,2010-05-26,7:49,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,21.1,MGUT
6007605002,2010-05-26,7:49,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,3.42,KKUT
6007605002,2010-05-26,7:49,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.051,NNHTUR
6007605002,2010-05-26,7:49,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,115.0,CLIDUR
6007601702,2010-05-26,8:43,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,54.9,NAUT
6007601702,2010-05-26,8:43,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,2.95,KKUT
6007601702,2010-05-26,8:43,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,21.0,MGUT
6007601702,2010-05-26,8:43,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,79.0,CAUT
6007601702,2010-05-26,8:43,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.037,NNHTUR
6007601702,2010-05-26,8:43,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,86.4,CLIDUR
6007600302,2010-05-26,9:41,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,56.7,NAUT
6007600302,2010-05-26,9:41,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,2.75,KKUT
6007600302,2010-05-26,9:41,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.016,NNHTUR
6007600302,2010-05-26,9:41,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,86.7,CLIDUR
6007600302,2010-05-26,9:41,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,22.2,MGUT
6007600302,2010-05-26,9:41,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,78.0,CAUT
6007601002,2010-06-30,11:28,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,17.0,MGUT
6007601002,2010-06-30,11:28,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,71.0,CAUT
6007601002,2010-06-30,11:28,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,0.664,NNOTUR
6007601002,2010-06-30,11:28,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,1.87,KKUT
6007601002,2010-06-30,11:28,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.043,NNHTUR
6007601002,2010-06-30,11:28,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,33.3,NAUT
6007601002,2010-06-30,11:28,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,53.8,CLIDUR
6007601802,2010-06-30,12:08,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,16.7,MGUT
6007601802,2010-06-30,12:08,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,66.5,CAUT
6007601802,2010-06-30,12:08,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,73.0,CLIDUR
6007601802,2010-06-30,12:08,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.048,NNHTUR
6007601802,2010-06-30,12:08,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,0.881,NNOTUR
6007601802,2010-06-30,12:08,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,1.83,KKUT
